courseId,departmentId,courseName,credits,lectureHours,practiceHours,courseType,sourceYear,sourceId,sourceUrl,active
B09G1053,AI,机器视觉与应用,2,32,0,专业选修,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
B58A1102,AI,知识图谱及应用（全英文、研讨）,2,24,16,专业选修,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
B58A1171,AI,知识表示与推理（全英文、研讨）,2,24,16,专业选修,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
B5710022,CYBER,计算机组成原理,4,48,32,学科基础,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710051,CYBER,数据结构基础,4,64,0,学科基础,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710071,CYBER,网络空间安全数学基础,3,48,0,学科基础,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710121,CYBER,操作系统,4,48,32,专业主干,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710141,CYBER,计算机网络,3,48,0,专业主干,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710161,CYBER,密码学,3,48,0,专业主干,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710132,CYBER,编译方法（双语）,3,32,32,专业主干,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710151,CYBER,机器学习,3,32,32,专业主干,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710180,CYBER,系统安全,3,48,0,专业主干,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710190,CYBER,网络空间安全的法律基础,2,32,0,专业方向,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710220,CYBER,算法分析与设计,2,32,0,专业方向,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710243,CYBER,数据库原理与技术（双语）,3,48,0,专业方向,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B5710252,CYBER,WEB安全（全英文）,2,16,32,专业选修,2025,CYBER_2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,true
B0401082,RADIO,信息通信网（双语）,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0402010,RADIO,计算机组织与结构（双语）I,2,32,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0412032,RADIO,通信原理,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0422042,RADIO,数字信号处理,3,45,6,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0432060,RADIO,微波工程基础,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0442050,RADIO,通信电子线路,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0412070,RADIO,数字通信（双语）,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0422080,RADIO,统计信号处理,3,40,16,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0432111,RADIO,微波器件原理与芯片设计,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0442090,RADIO,专用集成电路设计,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0452010,RADIO,信息安全,3,48,0,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B0423252,RADIO,人工智能与深度学习,3,40,16,专业主干,2025,RADIO_2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,true
B2201020,INS,电路基础,4,64,0,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2201082,INS,信息通信网络概论,2,28,8,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2201041,INS,计算机结构与逻辑设计,3,48,0,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2201030,INS,信号与系统,3,48,0,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2201051,INS,电子电路基础,3,48,0,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2201111,INS,人工智能原理与实践,3,40,16,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2201060,INS,微机系统与接口（双语）,3,48,0,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2201071,INS,自动控制原理,3,40,16,学科基础,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2202120,INS,智能传感器技术,3,44,8,专业主干,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2202130,INS,图像处理与计算机视觉,3,44,8,专业主干,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2202190,INS,智能感知系统设计与实践I,3,32,32,专业主干,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2202200,INS,智能感知系统设计与实践II,2,16,32,专业主干,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2202151,INS,机器学习,3,44,8,专业主干,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2202101,INS,误差理论与数据处理（全英文）,3,48,0,专业主干,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2203011,INS,数据库技术及应用,2,24,16,专业选修,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
B2203021,INS,虚拟现实与数据可视化,2,24,16,专业选修,2025,INS_2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,true
